cluster,Rockies-HD-EB,Rockies-HD-FB,Rockies-HD18J-B,Rockies-HD18J-L,Rockies-HD18J-P,Rockies-HD18S-B,Rockies-HD18S-L,Rockies-HD18S-P,Rockies-HD19J-B,Rockies-HD19J-L,Rockies-HD19J-P,Rockies-HD19S-B,Rockies-HD19S-L,Rockies-HD19S-P,Rockies-HD20-L,Rockies-HD20-P,Rockies-PCR-ctrl-neg
OTU1,0,0,0,0,0,18,168,235,18,10,12,38,98,45,77,100,0
OTU2,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3,0,0,54,0,393,120,275,442,96,311,426,224,624,400,0,0,0
OTU4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,191,12,0
OTU5,0,0,26,45,201,140,0,50,81,249,462,53,156,108,0,0,0
OTU6,0,0,41,48,580,81,900,917,129,561,881,166,164,81,0,0,0
OTU7,3779,0,129,120,299,297,151,230,96,58,108,451,513,353,1649,1718,0
OTU8,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0
OTU9,0,0,959,1228,1696,2768,4208,4766,431,1649,2005,50,58,19,0,0,0
OTU10,0,0,0,0,0,0,0,0,0,15,0,0,40,0,469,208,0
OTU11,0,0,0,0,15,0,0,8,52,242,305,34,54,43,0,0,0
OTU12,0,0,0,0,94,148,147,237,106,387,498,86,111,51,0,0,0
OTU13,0,0,152,209,962,157,552,674,116,381,453,103,106,86,0,0,0
OTU14,0,0,55,53,350,0,0,10,25,0,29,0,0,0,0,0,0
OTU15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0
OTU16,5901,0,105,96,131,0,0,44,1143,3186,2591,1787,4159,4700,114,321,0
OTU17,0,0,0,28,55,26,0,0,109,170,176,19,4,0,0,0,0
OTU18,0,0,60,125,619,0,0,0,86,235,233,0,24,0,0,0,0
OTU19,0,1491,0,0,6,0,0,0,0,32,16,0,0,0,125,0,0
OTU20,0,0,85,165,486,0,0,0,0,0,0,75,55,0,0,0,0
OTU21,0,0,0,0,0,123,643,978,0,0,0,0,24,12,0,0,0
OTU22,6930,0,55,59,465,178,471,514,162,138,170,1014,2912,2890,0,13,0
OTU23,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0
OTU24,3125,0,21,58,127,0,0,0,0,49,0,22,12,19,0,0,0
OTU25,0,0,429,471,2161,816,308,359,67,38,40,590,863,666,40,55,0
OTU26,0,0,0,0,14,0,0,0,0,0,0,87,56,0,139,81,0
OTU27,0,0,0,0,0,0,0,0,0,0,0,27,49,25,30,15,0
OTU28,0,0,0,0,30,0,27,0,39,0,0,0,0,0,0,0,0
OTU29,0,0,115,0,91,157,139,159,0,0,0,137,140,39,0,0,0
OTU30,0,452,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU31,0,0,0,0,126,96,528,578,131,152,224,354,104,47,306,832,0
OTU32,0,0,330,584,858,159,350,663,0,0,0,160,181,48,0,0,0
OTU33,0,0,1632,1899,10546,60,83,80,783,560,602,11,25,0,6128,6643,0
OTU34,0,0,0,0,2,0,0,2,0,0,0,0,0,0,22,0,0
OTU35,0,0,0,0,9,13,21,0,0,0,0,0,0,0,75,51,0
OTU36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0
OTU37,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU38,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU39,0,0,0,0,101,148,65,0,1751,582,1031,76,57,29,0,0,0
OTU40,0,0,27,56,134,86,65,87,8263,1129,1707,78,35,15,160,386,0
OTU41,0,2722,12,11,34,0,0,33,0,0,0,0,0,0,24,38,0
OTU42,0,418,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0
OTU43,0,1175,0,0,0,0,0,8,0,0,0,0,0,0,0,0,466
OTU44,0,0,60,59,58,25,0,0,0,0,0,84,54,153,0,0,0
OTU45,0,0,1183,1543,263,226,22,0,0,85,60,89,81,121,0,0,0
OTU46,0,0,710,1120,0,88,0,0,2380,197,55,136,60,6,1020,54,0
OTU47,0,0,0,0,0,53,142,186,0,21,0,146,162,269,0,0,0
