cluster,Blank-AQ-Derry,Blank-HD-Derry,HD18J-B-Derry,HD18J-L-Derry,HD18J-P-Derry,HD18S-B-Derry,HD18S-L-Derry,HD18S-P-Derry,HD19J-B-Derry,HD19J-L-Derry,HD19J-P-Derry,HD19S-B-Derry,HD19S-L-Derry,HD19S-P-Derry,HD20-L-Derry,HD20-P-Derry
OTU1,0,271,254,115,195,390,465,339,165,227,1125,17,36,22,47,0
OTU2,0,70,1853,2986,2274,67078,122619,112976,238,558,1469,38,64,32,564,0
OTU3,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0
OTU4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
OTU5,0,0,0,8,0,0,0,0,4,89,59,0,0,0,0,0
OTU6,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0
OTU7,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0
OTU8,0,0,0,0,0,0,0,0,7,5,0,0,0,0,205,0
OTU9,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0
OTU10,0,0,0,0,0,0,6,84,0,0,0,0,0,0,0,0
OTU11,36,0,104923,354,96,83915,39,0,51438,0,0,55693,946,408,1204,0
OTU12,0,0,0,0,0,0,0,0,0,11,8,8,0,0,0,0
OTU13,0,0,0,0,0,0,3,37,0,99294,20,0,27,0,0,0
OTU14,0,0,0,34,0,0,0,0,29,8,0,0,0,0,130,0
OTU15,0,0,0,10,0,0,0,0,0,21,17,0,0,0,0,0
OTU16,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0
OTU17,0,0,0,0,0,7,12,6,0,0,0,0,0,0,62,0
OTU18,0,0,12,106,0,0,0,0,0,105,0,0,0,0,0,0
OTU19,0,0,0,0,0,25809,38488,34549,26,28,27,127,0,0,0,0
OTU20,0,0,0,0,0,0,18,31,0,0,0,0,6,0,0,0
OTU21,0,0,0,0,0,35,26,25,24,3,0,6,15,0,0,0
OTU22,0,0,0,0,5,0,63,35,0,0,0,0,0,0,0,0
OTU23,39,0,95,96,62,90,179,261,24,58,51,105265,189384,158987,0,0
OTU24,0,0,0,0,0,0,0,0,2,281,178,0,0,0,0,0
OTU25,0,0,0,0,0,0,0,0,158,36,78,234,373,304,414,0
OTU26,0,0,0,0,0,0,0,0,0,0,0,158,310,81,427,0
OTU27,0,0,0,0,0,555,1650,1768,19,0,4,40,15,13,0,0
OTU28,0,0,0,36,0,0,0,0,0,8,2,2,0,0,535,0
OTU29,0,0,0,4,0,0,0,0,0,0,0,2,0,0,47,0
OTU30,0,0,0,8,0,0,0,0,0,0,2,0,0,0,70,0
OTU31,0,0,0,0,0,0,17,8,0,2,0,0,0,0,101,0
OTU32,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0
OTU33,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0
OTU34,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0
OTU35,0,0,2,0,0,0,0,0,79,0,0,0,0,0,0,0
OTU36,0,2,0,10,0,28,84,32,9,26,30,4,6,0,188,0
OTU37,0,0,0,9,0,0,0,0,0,0,3,0,0,0,4,0
OTU38,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
OTU39,0,0,0,0,0,0,4,0,3,20,40,0,0,0,53,0
OTU40,0,0,0,5,0,0,0,3,8,11,0,0,0,0,0,0
OTU41,0,0,0,21,2,0,3,0,0,9,10,0,4,0,363,0
OTU42,0,0,3,0,0,3,0,0,0,0,0,0,0,0,8,0
OTU43,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0
OTU44,0,0,0,0,0,0,0,0,0,0,4,0,0,0,175,0
OTU45,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1356,0
OTU46,0,0,0,0,0,4,36,66,11,0,6,13,13,14,0,0
OTU47,0,5,26,11,106,48,73,66,224,18,65,7,18,5,121,0
OTU48,0,0,0,21,0,0,5,0,13,5,16,4,5,2,98,0
OTU49,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0
OTU50,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
OTU51,0,0,0,10,0,0,7,5,0,5,0,0,0,0,0,0
OTU52,0,0,0,0,0,0,0,3,5,47,49,0,31,12,65,0
OTU53,0,0,68,0,2,0,0,0,3,0,0,0,0,0,0,0
OTU54,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0
OTU55,0,0,33,6,0,0,0,0,0,0,7,0,0,0,0,0
OTU56,0,0,0,0,0,10,11,15,67,38,137,8,0,0,7,0
OTU57,0,0,0,7,8,3,10,10,18,7,8,18,63,32,0,0
OTU58,0,0,0,0,3,0,0,0,7,21,8,0,0,0,113,0
OTU59,0,59,156,436,355,0,0,7,237,786,1659,6,17,11,32,0
OTU60,0,0,9,9,7,11,0,0,0,0,0,0,0,0,0,0
OTU61,0,0,0,7,0,0,0,0,0,9,12,0,0,0,0,0
OTU62,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0
OTU63,0,0,0,16,0,0,12,0,0,8,8,0,6,0,1711,0
OTU64,0,0,0,0,0,9,9,0,36,304,247,0,0,0,0,0
OTU65,0,0,0,9,0,8,0,0,11,21,52,0,0,0,0,0
OTU66,0,0,9,35,0,0,10,0,0,0,0,0,0,0,0,0
OTU67,0,0,0,0,0,28,143,11,0,0,0,0,0,0,0,0
OTU68,0,0,6,11,0,0,0,0,0,36,12,0,0,0,0,0
OTU69,0,0,839,378,356,0,0,0,11,19,75,41,16,7,0,0
OTU70,0,0,0,31,0,0,0,0,0,0,0,0,0,0,107,0
OTU71,0,0,0,4,0,55,472,197,0,18,0,10,4,0,0,0
OTU72,0,0,0,0,0,37,0,0,0,0,0,17,36,32,0,0
OTU73,0,0,0,31,0,0,0,13,0,24,16,0,9,0,0,0
OTU74,0,0,0,101,0,0,0,0,0,0,0,0,0,0,370,0
OTU75,0,14,29,185,78,3,0,0,74,54,280,56,321,152,191,0
OTU76,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0
OTU77,0,0,0,124,8,0,0,0,0,50,15,0,0,0,15,0
