dataset_id,species_id,bwg_name,bromeliad_id,abundance
51,4111,Diptera.203,5086,83
51,4116,Diptera.257,5086,1
51,4751,Diptera.11,5086,2
51,5611,Diptera.243,5086,3
51,5816,Diptera.269,5086,11
51,6281,Odonata.4,5086,3
51,6341,Oligochaeta.13,5086,1
51,6521,Coleoptera.31,5086,19
51,4106,Diptera.188,5091,6
51,4111,Diptera.203,5091,15
51,4381,Diptera.85,5091,1
51,4756,Diptera.12,5091,1
51,4781,Diptera.298,5091,3
51,5611,Diptera.243,5091,1
51,5706,Diptera.237,5091,1
51,5816,Diptera.269,5091,12
51,6286,Oligochaeta.14,5091,2
51,6341,Oligochaeta.13,5091,3
51,6521,Coleoptera.31,5091,93
51,3666,Diptera.39,5096,1
51,4106,Diptera.188,5096,1
51,4116,Diptera.257,5096,4
51,5361,Diptera.209,5096,1
51,5816,Diptera.269,5096,19
51,6281,Odonata.4,5096,1
51,6341,Oligochaeta.13,5096,8
51,6521,Coleoptera.31,5096,55
51,4106,Diptera.188,5101,26
51,4111,Diptera.203,5101,58
51,4756,Diptera.12,5101,2
51,4781,Diptera.298,5101,2
51,5706,Diptera.237,5101,1
51,5816,Diptera.269,5101,25
51,6281,Odonata.4,5101,1
51,6286,Oligochaeta.14,5101,2
51,6341,Oligochaeta.13,5101,7
51,6521,Coleoptera.31,5101,103
51,6671,Diptera.120,5101,3
51,3666,Diptera.39,5106,8
51,4106,Diptera.188,5106,3
51,4111,Diptera.203,5106,47
51,4116,Diptera.257,5106,2
51,4781,Diptera.298,5106,2
51,5706,Diptera.237,5106,2
51,5816,Diptera.269,5106,19
51,6281,Odonata.4,5106,4
51,6286,Oligochaeta.14,5106,1
51,6341,Oligochaeta.13,5106,35
51,6521,Coleoptera.31,5106,43
51,4106,Diptera.188,5111,4
51,4111,Diptera.203,5111,17
51,4121,Diptera.54,5111,1
51,4381,Diptera.85,5111,2
51,4781,Diptera.298,5111,10
51,5361,Diptera.209,5111,1
51,5816,Diptera.269,5111,34
51,6521,Coleoptera.31,5111,53
51,6676,Diptera.121,5111,1
51,5156,Diptera.136,5116,2
51,6341,Oligochaeta.13,5116,4
51,4106,Diptera.188,5121,1
51,5156,Diptera.136,5121,1
51,4106,Diptera.188,5126,2
51,4381,Diptera.85,5126,1
51,5816,Diptera.269,5126,3
51,6521,Coleoptera.31,5126,8
51,4106,Diptera.188,5131,3
51,4781,Diptera.298,5131,9
51,5816,Diptera.269,5131,2
51,6506,Unknown.1,5131,1
51,6521,Coleoptera.31,5131,6
51,4111,Diptera.203,5136,20
51,4801,Diptera.96,5136,1
51,4806,Diptera.97,5136,3
51,5236,Diptera.196,5136,9
51,6281,Odonata.4,5136,6
51,6286,Oligochaeta.14,5136,2
